Project Name,Status,Project Type,Description,Skills Used,Completion Date,Client,Project URL,Feedback,Key Achievements,Time Spent
Data Visualization Study,In Progress,Research,Research project exploring effective visualization methods for complex datasets in healthcare.,"JavaScript, Python, SQL","December 15, 2025",Healthcare Analytics Team,,Initial project proposal received positive feedback from research committee.,Secured access to anonymized healthcare datasets for research purposes.,8
Personal Portfolio Website,In Progress,Web Development,"A comprehensive portfolio website showcasing my projects, skills, and professional journey.","CSS, HTML, JavaScript, React","November 15, 2025",Self,,Initial peer review suggests strong visual hierarchy but recommends improving mobile responsiveness.,Implemented a custom theme switcher and optimized image loading for performance.,28
E-commerce Dashboard,Review,Web Development,"Admin dashboard for small business to manage inventory, orders, and customer information.","CSS, JavaScript, Node.js, React","October 31, 2025",Local Boutique,,"""The dashboard has streamlined our inventory management process tremendously. Still need some UX improvements in the order processing section.""",Reduced order processing time by 40% and implemented real-time inventory tracking.,50
"Badges Interview Question Incidents (LeetCode + Rounds) (Portfolio%20Projects/Tech_notes/Interview%20Question%20Incidents%20(LeetCode%20+%20Rounds)%20191cdf7a3c1446658e22c275a73b22ce.csv) ",In Progress,,,,,,,,,
🧮 DSA Implementation Template,In Progress,Writing,Template for data structures and algorithms implementation projects.,"Git, Python",,,,,,
☕ Java Console App Template,In Progress,Writing,Template for Java console applications. Replace this content with your project details.,Git,,,,,,
🌐 Full Stack Project Template,In Progress,Web Development,Template for full-stack web applications. Replace this content with your project details.,"CSS, HTML, JavaScript",,,,,,
📝 Web Project Template,In Progress,Web Development,Template for web development projects. Replace this content with your project details.,"CSS, HTML, JavaScript",,,,,,
Tech Project,In Progress,,,,,,,,,
LC_VC,Review,,,,,,,,,
Tech_notes,In Progress,Writing,,"CSS, Git, HTML, JavaScript, Python, SQL",,,https://github.com/Aryankatiyarcsjmu/MPpfolderp/tree/master,,,
1:1 notes,In Progress,,,,,,,,,
